公開日,タイトル,興行収入,監督
1986年8月2日,天空の城ラピュタ,5.8億円,宮崎駿
1988年4月16日,となりのトトロ,5.9億円,宮崎駿
1988年4月16日,火垂るの墓,5.9億円,高畑勲
1989年7月29日,魔女の宅急便,21.5億円,宮崎駿
1991年7月20日,おもひでぽろぽろ,18.7億円,高畑勲
1992年7月18日,紅の豚,28億円,宮崎駿
1994年7月16日,平成狸合戦ぽんぽこ,26.5億円,高畑勲
1995年7月15日,耳をすませば,18.5億円,近藤喜文
1997年7月12日,もののけ姫,193億円,宮崎駿
1999年7月17日,ホーホケキョ となりの山田くん,7.9億円,高畑勲
2001年7月20日,千と千尋の神隠し,304億円,宮崎駿
2002年7月20日,猫の恩返し,64.6億円,吉田玲子
2004年11月20日,ハウルの動く城,196億円,宮崎駿
2006年7月29日,ゲド戦記,76.5億円,宮崎五朗
2008年7月19日,崖の上のポニョ,155億円,宮崎駿
2010年7月17日,借りぐらしのアリエッティ,92.5億円,米林宏昌
2011年7月16日,コクリコ坂から,44.6億円,宮崎五朗
2013年7月20日,風立ちぬ,116.1億円,宮崎駿
2013年11月23日,かぐや姫の物語,24.7億円,高畑勲
2014年7月19日,思い出のマーニー,35.3億円,米林宏昌
2016年9月17日,レッドタートル ある島の物語, ,マイケル・デュドク・ドゥ・ヴィット
